Name,Date,Active cases
SiChuan,2020/5/9,0 
SiChuan,2020/5/8,0 
SiChuan,2020/5/7,0 
SiChuan,2020/5/6,0 
SiChuan,2020/5/5,0 
SiChuan,2020/5/4,0 
SiChuan,2020/5/3,0 
SiChuan,2020/5/2,0 
SiChuan,2020/5/1,0 
SiChuan,2020/4/30,0 
SiChuan,2020/4/29,0 
SiChuan,2020/4/28,0 
SiChuan,2020/4/27,0 
SiChuan,2020/4/26,0 
SiChuan,2020/4/25,0 
SiChuan,2020/4/24,0 
SiChuan,2020/4/23,0 
SiChuan,2020/4/22,2 
SiChuan,2020/4/21,4 
SiChuan,2020/4/20,4 
SiChuan,2020/4/19,4 
SiChuan,2020/4/18,5 
SiChuan,2020/4/17,5 
SiChuan,2020/4/16,5 
SiChuan,2020/4/15,7 
SiChuan,2020/4/14,9 
SiChuan,2020/4/13,9 
SiChuan,2020/4/12,10 
SiChuan,2020/4/11,10 
SiChuan,2020/4/10,11 
SiChuan,2020/4/9,16 
SiChuan,2020/4/8,16 
SiChuan,2020/4/7,16 
SiChuan,2020/4/6,16 
SiChuan,2020/4/5,16 
SiChuan,2020/4/4,16 
SiChuan,2020/4/3,15 
SiChuan,2020/4/2,14 
SiChuan,2020/4/1,12 
SiChuan,2020/3/31,11 
SiChuan,2020/3/30,11 
SiChuan,2020/3/29,11 
SiChuan,2020/3/28,9 
SiChuan,2020/3/27,9 
SiChuan,2020/3/26,8 
SiChuan,2020/3/25,8 
SiChuan,2020/3/24,6 
SiChuan,2020/3/23,4 
SiChuan,2020/3/22,4 
SiChuan,2020/3/21,3 
SiChuan,2020/3/20,2 
SiChuan,2020/3/19,1 
SiChuan,2020/3/18,12 
SiChuan,2020/3/17,17 
SiChuan,2020/3/16,20 
SiChuan,2020/3/15,20 
SiChuan,2020/3/14,25 
SiChuan,2020/3/13,33 
SiChuan,2020/3/12,38 
SiChuan,2020/3/11,48 
SiChuan,2020/3/10,58 
SiChuan,2020/3/9,70 
SiChuan,2020/3/8,72 
SiChuan,2020/3/7,82 
SiChuan,2020/3/6,94 
SiChuan,2020/3/5,111 
SiChuan,2020/3/4,129 
SiChuan,2020/3/3,141 
SiChuan,2020/3/2,149 
SiChuan,2020/3/1,170 
SiChuan,2020/2/29,184 
SiChuan,2020/2/28,197 
SiChuan,2020/2/27,210 
SiChuan,2020/2/26,221 
SiChuan,2020/2/25,237 
SiChuan,2020/2/24,248 
SiChuan,2020/2/23,262 
SiChuan,2020/2/22,273 
SiChuan,2020/2/21,291 
SiChuan,2020/2/20,300 
SiChuan,2020/2/19,323 
SiChuan,2020/2/18,336 
